author_username,text
212pondi,בלט סמולני על החול  https://t.co/mJiTak7YTt
212pondi,@AviNimni4 @twwygr @gal_ya אם אני ידעתי ברור לך שכולם ידעו שם ושתקו כמו שהם שותקים גם כעת כי הם כאלה מושחתים ומכסים אחד על השני
212pondi,@doronorbah @ShikmaBressler בזנב
212pondi,@Nililach3Nili בול
212pondi,@m7xcfvqgsr @MichalShir עמוס שוקן תהיה רגוע
demokratya11,@yonibmen נכשלת מר גלנט תתפטר @yoavgallant
212pondi,@NunFede @yoavgallant חצוף תשמור על המקלדת שלך 😝😝😝
212pondi,@Nililach3Nili עד היום ישראל דיקטטורה נשלטת ע״י הסמול
212pondi,רק מוכיח שהסמול שולטים בתקשורת ומנצלים את כח השררה לרעה
212pondi,@daniel02667 הלוואי שהם אנשי קפלן יחשבו כמוך יקר שלנו ❤️❤️❤️ בריאות
demokratya11,סמולן לשעבר התפכח רק נתניהו ❤️❤️❤️ https://t.co/7XMc2GDNwo
ShbrYwsy,ללא מילים. https://t.co/SQoAqdFZZb
212pondi,@liran_serok @ShikmaBressler שוקן מחכה לך 😝😝😝
212pondi,@iKgwyGgoSHGmYYj @yonibmen @yoavgallant תתעלם 🤣🤣🤣 ערוצי הסמול ממציאים דמויות
ShbrYwsy,"בבקשה בבקשה 
אני מתחנן 
לשתף לשתף לשתף.
בלי לייקים רק לשתף."
yosi_shahbar,"למה?
למה שאוליגרך רוסי שהורשע ברצח ברוסיה ונידון למאסר עולם יכנס לשותפות עם עמוס שוקן בעיתון הארץ.
שמישהו יסביר לי את זה עכשיו. https://t.co/v8OMvyNMOv"
ShbrYwsy,"@212pondi חחחחחח
אני מת עלייך."
212pondi,@Aya27879Ami @ShikmaBressler @barak_ehud 🤣🤣🤣🤣
demokratya11,@mosaud08 לאן נעלמת אתה חי ???
212pondi,@historyinpic9 @Bar_ShemUr אשכרה פוליצר 😝😝😝
212pondi,אבל מה עשיתי דוד 😝😝😝 https://t.co/NQMpH8o1D5
212pondi,@historyinpic9 @Bar_ShemUr היי תהיות גאון שלי ❤️
ShbrYwsy,"@0KfcnmjkHYsHIYk מי זה ג'קי לוי?
אני לא מפותח במיוחד."
212pondi,אבל מה עשששששיתייי https://t.co/hP2ezgKE0U
demokratya11,@costa1black @Bar_ShemUr טבח כבר עשיתם 7/10
212pondi,סורס ראש הנחש מאז ועד לרגבי עפר https://t.co/55lDe8UGsw
212pondi,@haprivilegit תפרגנו חברים שלא יהיה לה כואב ❤️❤️❤️😜
212pondi,@iKgwyGgoSHGmYYj @yonibmen @yoavgallant אל תאמינו לערוצי הסמול
212pondi,@indianados1 תירוצים עלובים צחקתי פה בקול
212pondi,@AyeletLash @tmgn66 🤣🤣🤣🤣🤣🤣
212pondi,למה הסמול מפחד ??? 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
212pondi,@indianados1 נפתח נגדו תיק פלילי 😝😝😝😝 כאילו הוא לא בכלא
212pondi,בקשה בגידה לאור יום  https://t.co/U9TVC4ayIO
212pondi,כך נראים ערוצי התרעלה https://t.co/g17QXvOrjN
212pondi,@Dganit85945554 @YaronLevi100 @barak1cohen @ishaycoen חיילים מתים וזה מה שיש לכם להציע להם ??? חלאות
212pondi,@Amalia_Ozer אין לי בעיה לארגן לו פה כספים אם צריך
212pondi,הבנתם ??? 🤣🤣🤣 https://t.co/4Dwu3ALI6e
212pondi,@asher501_ חרפה
212pondi,@talschneider אגב כולם חושבים שהייתה כאן בגידה רק סמולניםם כמותך מפחדים לומר את האמת תחשבי לבד למה אנחנו יודעים למה
212pondi,@ItamarCohen100 וגם אלופה שנונה רהוטה ולא פראיירית @AyalaHasson
212pondi,@YinonMagal אלה שהביאו את הטבח מדברים על החטופים שהם הביאו גם 🤣🤣🤣🤣
212pondi,@mennyassyag בזכותך חצי מהעולם עם תפילין ❤️❤️❤️🤣🤣🤣🤣
yosishahbar,"אובדן שליטה עצמית.

המנוולת המשפטית משתוללת
ושופטי בית המשפט המחוזי 
חובטים בה.... https://t.co/Cms3fB5xmj"
yosishahbar,"עמך ישראל.
כמה עמך ישראל קשה היום 
עם חכם...
כל בעלי ההון.
כל בעלי הדעה.
כל הפרביליגים.
קמו על נתניהו
העלילו עלילת דם על נתניהו 
וסגרו עליו מכל הכיוונים ועמך ישראל לא קנה ולא האמין שנתניהו איש מושחת.
אני כל כך גאה להיות חלק מעמך ישראל למרות שאני במידה רבה פריבילג..."
yosishahbar,"הופה...
מערך המילואים 8200 מתנער מכנופיות הטרור שמובילים 
צמד האנרכיסטים שסולקו מהמערכת הפוליטית. https://t.co/wwua6ndXO7"
yosishahbar,"מילצ'ין 
מאשר שלנתניהו יש חבר 1 בלבד 
ארנון מילצ'ן.
וגם שניהל הרבה מאוד שיחות אינטימיות עם שרה נתניהו 
שהגיעו לעניינים הכי אישיים. https://t.co/nlxMgvXk5Y"
yosishahbar,"דמיינו לכם.
דמיינו לכם שעל דוכן העדים 
בתיקי האלפים יעלה ויבוא רוני אלשייך...
ומי חוקר אותו?
כמובן ...עמית חדד.
אני באופן אישי לא חושב שאלשייך ירשה לעצמו את המעמד הזה...
הוא יסגור עניין עם בורא עולם קודם. וד.ל https://t.co/eflcXj10jP"
yosishahbar,"בשם החברות.
מילצ'ין הגיע להצגה של יאיר נתניהו בבית הספר... https://t.co/EpTBHGe9pN"
yosishahbar,"אוייי 
אמנון אמנון.
פעם היית איש חשוב שמנענע 
את העריסה.
עכשיו אתה אשמאי זקן ומיותר. https://t.co/sgFoPjAB0U"
yosishahbar,"תיעוד מטורף 
של מח""ט טיפש שמכוון את נשקו 
נגד נער יהודי.
זה לא מפתיע משום שבית המשפט קבע בעבר שהמחט הזה שקרן שהעליל עלילה על המתיישבים. https://t.co/coX1hdixLS"
yosishahbar,"100%.
יהודה שפר שהרג קשיש בחיפה
ונמלט מעונש....
יעניק שרותי יעוץ משפטי לפרקליט הבכיר עומרי קופלר 
שהרג זקנה בהוד השרון
כך נמסר על ידי גורמים בסביבת יהודה שפר.
אחרי הכל ליהודה שפר היה 100% הצלחה. https://t.co/x9HveHpdhB"
yosishahbar,"האשמדאי.
היום בערב שבת האשמדאי יזהם בנוכחותו את בית הכנסת.
את ארון הקודש.
ואתי ספרי התורה הקדושים. https://t.co/Wwr8OuWfdq"
yosishahbar,"קפלן תל אביב.
למעלה מ300 פגועי מוחין בקפלן https://t.co/PvmxtVRfqF"
yosishahbar,"@prydmn6 נתניהו 
בעניין הרפורמה לא משחק במגרש לבד.
יש עוד שחקנים.
יש בליכוד שחקנים משמאל.
יש שחקנים מימין.
יש שחקנים בש'ס באגודה בציונות הדתית בעוצמה יהודית.
יש שחקנים ברשתות החברתיות.
וכל זה בלי לקחת בחשבון את האופוזיציה והתקשורת המתועבת.
יותר קשה לתמרן מול אלה שאוהבים אותך מאשר אלה…"
yosishahbar,"ג'נין בוערת 
יש נפגעים בקרב חיילי צהל.
כוחות רבים זורמים לאזור.
לפי מה שאני יודע מצבם של הפצועים יציב 
חיל האוויר משתתף בחילוץ.
על-פי מידע שיש בידי...
הופעל מטען לעבר כלי רכב 
של צהל שחדר את שריון הרכב.
נתפלל לשלום הפצועים. https://t.co/8F8w5ESRoZ"
yosishahbar,"העציץ.
שר ההגנה האמריקני
ליואב גלנט.
''מזל שאתה שר הבטחון"".
כנראה לאמריקנים יש מודיעין 
קלוקל...
מאז פרשת גלנט שר הבטחון 
בפועל הוא בנימין נתניהו.
נתניהו הפך את גלנט לעציץ. https://t.co/cJTx7QuhoS"
yosishahbar,"תסבירו לי בבקשה
איך בנאדם שמתיימר להיות אינטליגנט מנהל שיג ושיח 
מרצון חופשי עם בהמה  תקשורתית? https://t.co/cZdUpctknG"
yosishahbar,"@leale_6 כפרה עליך 
את מאלפת אותי."
yosishahbar,"@BenCaspit 
בוםםםםם
חשש כבד לגורלו של בן כספית.
קולו נדם מאז נודע על ההצעת שופטי נתניהו לגנוז את תיק השוחד.
כל היודע על מקום המצאו יודיע
לערוץ התועבה שם הוא משתתף כאחד מחברי הפנל שסייעו לפרקליטות לפברק כתב אישום מופרך. https://t.co/ZePnRamI93"
yosishahbar,"דליל. מאוד דליל.

4500
מפגינים בקפלן.
תגדילו את התמונה. https://t.co/jUBN12V53x"
prydmn6,@ynetalerts אין על יריב לוין 😃😃😃😃 את האמת לפרצוף כמו שצריך
yosishahbar,"תיעוד מטורף.
מתיישבים יהודים מנהלים חילופי ירי עם מחבלים פלשתינים.
זה מיותר לחלוטין.
זה מסוכן.
יש לנו בשביל זה צבא. https://t.co/7tL52uJLOn"
yosishahbar,"המטורלל והמטורללת.
ראש הממשלה נתניהו מגנה את דבריו של שר המורשת המטורל נגד נגיד בנק ישראל והמטורללת  הזאת מאיימת על הנגיד.
מי יסתום את הפה ל2 המטורללים הללו? https://t.co/iHeqT0JIrD"
prydmn6,@GLADIAT20481527 שופטים פעילי הקרן החדשה שמו להם למטרה לחסל את המדינה !!!! מתחילים עם זרועות הביטחון
yosishahbar,"@BenCaspit @ShikmaBressler בחיאת כספית...
ואיך אתה מסביר שהמשרד 
של הרצוג פוקס נאמן חי נושם ובועט?
להזכיר לך שנאמן מת מזמן.
והרצוג נשיא המדינה.
ואתה כספית הפכתה לשטינקר."
prydmn6,@Tsega__Melaku 75 שנה ערוצי הסמול הרעילו את כולםםםם היא רק תוצאה של הסתה המסכנה הזו שצעקה על החרדי !!!
yosishahbar,"לא למצמץ.
ביום שני הקרוב כנופיות טרור
מתכוונות להטיל מצור על נמל התעופה בן גוריון.
על המשטרה, המשטרה בלבד,
לשבור להם את העצמות אם ידרש
זה בכוח סמכותה להשתמש בכח.
זאת ההזדמנות האחרונה של משטרת ישראל להוכיח שיש משטרה בישראל https://t.co/hly2fFOHJ7"
yosishahbar,"זוועה

סוס חזק בריא 
שנעלם ונמצא לאחר שנתיים. 
ככה הוא נראה. https://t.co/HBvmxJXnmN"
yosishahbar,"עד מדינה.
אז למה אלשייך פתח את הפה?
לחץ.הרבה לחץ.
אלשייך מסתובב בגבעת שמואל 
עם אות קיין על מצחו.
הוא מוחרם. הוא מנודה.
כולם מתרחקים ממנו כמו כלב מצורע.
אלשייך בשל להיות עד מדינה.
הוא מתחנן להיות מדינה.
אין לו למי לפנות.
המשטרה והפרקליטות אלו שאמורים לדון באפשרות להעניק לו את… https://t.co/o5ZXyonmiE"
yosishahbar,"צבא 
של מתרוממים פרוגרסיבים.

זוהי תמונה  מהעמוד הרשמי הבינלאומי של צה""ל.
בושה. https://t.co/oMO7G0m10I"
yosishahbar,"כל מספר זוכה.
כ500 אלף נשים השתתפו במצעד הגאווה בבאר שבע. https://t.co/JsKrDOKIbU"
yosishahbar,"פוטין- נאום לאומה,
בעקבות ניסיון ההפיכה.
פוטין מתאר את כח ואגנר כבוגדים. https://t.co/NBTGVHWBUs"
yosishahbar,"@MarioBenHirsch1 כפרה עליך.
אני לא נוהג להגיב.
אם תקים ועדה שלא בראשות שופט שנשיאת העליון קבעה,
ימצאו את התירוץ לפסול את ההחלטה.
אסור להקים שום ועדת חקירה עד שלא ימונה נשיא חדש לעליון.
עוד 118 ימים.
זה האתגר.
אסור לאבד תחמושת תקשורתית.
צריך לשמר אותה ליום פקודה.
מאוד אהבתי את ההחלטה לדחות ב30 את…"
yosishahbar,"@5lz2L18FQ0d6ZSX ברור.
מידע אישי...
מדובר ב70 אלף שקל במשך 6 שנים.
יוצא איפה שמדובר ב11 אלף שקל בשנה....
זה כבר מתקבל על הדעת.
וזה מסתדר עם עדות הנהג שהוא הגיע 3 פעמים בשנה.
3 פעמים בשנה זה לא קו אספקה סדיר...
בסוף הכל עניין של מינון."
yosishahbar,"ג'נין בוערת.
5 נפגעים בקרב חיילי צהל 
מצבם יציב. https://t.co/AdBPoLYEiR"
yosishahbar,"ואלה שמות
המנוולים 'שתפרו' את תיקי נתניהו.

חלקם תפרו את התיק בזדון.
חלקם תפרו את התיק במחדל.
חלקם תפרו את התיק מטימטום .
חלקם תפרו את התיק ברשלנות.
לזכור ולא לשכוח.
כולם יעמדו לדין.
כולם יתנו את הדין. https://t.co/VGDYsiBS9J"
yosishahbar,"תיק 1000.
כולם יודעים שלפיד שקרן.
אממה...
יאיר לפיד בעדותו במשטרה 
הפליל את נתניהו...
""נתניהו לפחות ב2 פגישות מקצועויות פעל להטבות מס באופן עקיף עבור מילצין"".
והנה על דוכן העדים הפך את הפגישות למינוריות, אגביות 
והלא לפיד השקרן יכל בקלות לספר על דוכן עד כמה נתניהו הפעיל עליו… https://t.co/WI8izyTN2Z"
yosishahbar,"דעה לא פופולרית.
בבקשה לא לחוקק שום חוק הקשור בקשר ישיר או עקיף ברפורמה המשפטיתבאופן חד צדדי.
מהטעם הפשוט כל חוק כזה 
יבוטל על-ידי בג""ץ.
לטעמי לא לחוקק שום חוק בהסכמה.
הסכמה היא רפש.
להמתין בסבלנות ב118 הימים הבאים עלינו לטובה עד לתאריך 
ה16 לאוקטובר 2023 עת תפרוש אסתר חיות.…"
yosishahbar,"קטטוני.
יש תרופה לדבר הזה?
זה בר שיקום?
או שזה בלתי הפיך? https://t.co/6KNhx4oODD"
prydmn6,@noam_fathi מי סופר את ערוצי השקר ערוצי הכזב ערוצי הסמול פעילי הקרן 24/7 מלחמת עולם נגדנו
yosishahbar,"חחחחחחח
4 כתבי אישום הוגשו נגד חוסמי כבישים ב2023.
כך מסרה משטרת ישראל בוועדת החוקה."
yosishahbar,"תראו אותו...
תראו את האיש הזה שקרע 
את עם ישראל לגזרים.
חלאת האדם הזה הגיש כתב אישום מופרך בגלל אמביציה אישית להיות שופט בבית המשפט העליון.
האיש הזה צריך לשבת בבית הסוהר עד יומו האחרון. https://t.co/6z0ET0fyhE"
yosishahbar,יש פסיכיאטר בטוויטר? https://t.co/Pzkojzp6K0
yosishahbar,"מפחיד.
מצוק קרס בבית חנקין שבחדרה. https://t.co/RJx1M81Jo8"
yosishahbar,"תסבירו לי בבקשה
איך התולעת הזאת קיבל 50 מיליון יורו על עסקת הצוללות שבסופו 
השתתף בעלילת דם נגד נתניהו ומקורביו כדי לחלץ את עצמו? https://t.co/gIQUhJuaDp"
yosishahbar,"@golanso761980 @win_erez גם תיק 3000 היה תפור.
גם תיק 2000 תפור."
yosishahbar,"רק לוין יחליט.
פגסוס-כן/לא.

לחץ אדיר מופעל על יריב לוין להקים ועדת חקירה לעניין פגסוס.
תומכים בזה רבים וטובים.
הרציונל של לוין....
שהעברת חוק פגסוס תצנן את הציבור הימני ואת חברי הכנסת מהקואליצה מלהעביר את החוק העוסק בוועדה לבחירת שופטים.
נותרו עוד 💯 ימים להסתלקותה של אסתר חיות… https://t.co/xWfkTJ2dyC"
prydmn6,@mwysh_zwkm11554 @mennyassyag אין אופציה אחרת ❤️❤️❤️
prydmn6,RT @prydmn6: @NaorNarkis למה מפריע לך שיהודים חוזרים לשורשים ???
prydmn6,"חיילים תועדו מברכים את ג'נין ומקללים את ישראל, דובר צה""ל: ""יטופלו משמעתית"" פחחחחח טמבל מי שמגייס לצה״ל ערבים וסמולנים בוגדים https://t.co/FkZvVNJsBg"
yosishahbar,"קפלן תל אביב.
בשעה 18:59. https://t.co/hyrtzHczxL"
prydmn6,"RT @CronoTsukuyomi: יהודי שמגן על 'כבוד' הנצרות, זו הדוגמה הכי גבוהה ומזוקקת לcuck

מעבר לכך שכל מהותה של הנצרות זו התרסה ליהדות, שהם 'בני…"
yosishahbar,"@liorai14 לצערי.
זה עניין של זמן. 
היא תמאס עלייך."
prydmn6,המחבל רוצה לחסל את הדמוקרטיה צאו להצביע https://t.co/rv1QND4SFr
yosishahbar,"הייי 
שמאלנים עלובים.
הקללות שלכם ברכות בשבילי.
ונהפוך הוא."
yosishahbar,"סיפור 1 בלבד.

אלדד יניב...
בחיאת אלדד ספר לי סיפור 
שאני לא מכיר.
משהו שלא שמעתי אף פעם.
משהו מטלטל.
לא סחורה יד 2.
עד עכשיו אתה רק ממחזר.
כמו החיתולים של פעם שהתינוקות  היו מחרבנים והאמהות הטובות שלנו היו מרתיחות במים וממחזרות.
אלדד.
תזכור סיפור 1 בלבד.
@EldadYaniv https://t.co/vmyrKm7Knu"
yosishahbar,"יסלח לי אלוהים.
אני לא מסוגל להקשיב לטלי גוטליב.
אני לא יודע למה? https://t.co/o6aCA62yCq"
yosishahbar,"תודה.
באמת תודה.
תודה לחיל האויר שהשתתף באופן פעיל בפעולה בג'ינין .
זה לא קרה ב20 שנה האחרונות.
תודה למפקד חיל האויר שסיכן 
את מסוק הקרב.
תודה לטייס שסיכן את עצמו."
yosishahbar,"לחלוט.
אין לי עניין  שיענישו את ראשי הפרקליטות על שתפרו תיק פלילי נגד נתניהו...
כי קשה לקמט את זה.

יותר קל להעניש אותם בשל הנזק הכלכלי שגרמו לאוצר המדינה
באופן ישיר ועקיף...
ולהעניש אותם בהתאם.
ובעיקר לקנוס אותם ולחלוט את רכושם...כולל הפנסיות התקציביות. https://t.co/sasGgCesAj"
yosishahbar,"קמפיין שמאלני חדש.

נתניהו דיקטטור חלש.
תנו לי 
מהחלש הזה עוד 10 שנים. https://t.co/oSGpOBmTzq"
prydmn6,"איך הם ""מעזים""????🤣🤣🤣🤣 https://t.co/TNzExaOynT"
yosishahbar,"@edihoo2 @YtnSwsn אתה מייחס לי דברים איומים.
זה נדיר שאני עונה לדברי בלע."
yosishahbar,"דעה לא פופולרית.

אדוני ראש הממשלה בבקשה 
לא לחוקק שום חוק הנוגע לרפורמה 
לא בהסכמה ולא באופן חד צדדי.
להמתין עוד 117 יום עת פרישת אסתר חיות ...
לחוקק באותו יום החוק לבחירת שופטים שמונח על שולחן הכנסת בקריאה שניה ושלישית.
לבחור שופט עליון בבוקר ובערב למנות אותו לנשיא בית המשפט…"
yosishahbar,"השקרנית.
בכתב האישום נגד נתניהו נקבע
שנתניהו פעל  להשיג למילצין ויזה לארצות הברית באמצעות שיחה לג'ון קרי.
מילצ'ן קבע שזה שקר. https://t.co/XHZRc0PMGC"
yosishahbar,"תראו 
את הסוציופט הזה.
שמציג אנומליה.
נגד אלימות.
אבל בעד חסימת כבישים ובעד 
שיבוש חיי המדינה.
מה אומרים לסוציומט הזה? https://t.co/hqAnYJQ0eL"
yosishahbar,"אני לא יודע 
אם לצחוק או לבכות.

קרב חתולות 
בין שרות הממשלה.

להלן המשתתפות.
גילה גמליאל 
גלית דיסטאל. https://t.co/Ig39RwDep8"
yosishahbar,"קבורת חמור.
גנץ שמח.
הוא חושב שהוא  קבר פוליטית את לפיד.
הוא חושב שהצליח לשכנע את ערוצי התועבה להרוג את לפיד.
אחרי שערוצי התועבה יסיימו את עם קבורת לפיד ,הם יתפנו לקבור את החמור בני גנץ...
לא הגיוני.
הגיוני ועוד איך הגיוני.
הם מבקשים להמליך את גדי אייזנקוט במקום גנץ.
החמור עוד לא… https://t.co/508ezKoX0V"
yosishahbar,"חילי טרופר.
אני מעריץ שלך למרות ששנינו משני צידי המתרס הפוליטי.

יש לי שאלה ערכית עבורך...
מה דעתך על כך שיש צו איסור 
פרסום לרשימת הפדופילים שסיפק צייד הפדופילים אלעד בן נון שמרצה עכשיו עונש של 10 שנים בכלא? https://t.co/mPOI1SoGsP"
yosishahbar,"מומלץ.
גלית דיסטל 
מגהצת את בן כספית. https://t.co/iAcLcXp8QW"
yosishahbar,"קפלן תל אביב.
השעה 18:50.
כמעט 48524 מוחים. https://t.co/CNQLFA8dgc"
yosishahbar,"בוםםם
הודעה מיוחדת ממשרד האוצר.
אינטל עתידה להשקיע בישראל 
25 מיליארד דולר.
כזה עוד לא היה לנו. https://t.co/TShij42Zvv"
yosishahbar,כשתפתח חלילה מלחמת אחים https://t.co/U62gXHIzjm
yosishahbar,"@shobot6 יש לי כל כך הרבה לכתוב על פרשת הצוללות ...
אבל חסר לי זמן.
קורים בבית המשפט המחוזי בירושלים דברים מאוד מעניינים יותר ממשפט נתניהו."
yosishahbar,"קשה לצפיה.
קונגו.
ילדים המיועדים להמכר לכל המרבה במחיר מובלים בשקים. https://t.co/kHV282OaOi"
yosishahbar,"תנחשו במי הגנב בבחירות ללשכת עורכי הדין?
נכון!
בעמית בכר.
הוא יודע למה. https://t.co/LMyHryFaA5"
prydmn6,@igal_malka_II רחמנא ליצלן
prydmn6,"RT @prydmn6: @ido_givoni הדיל של הסמול והבגץ על דרעי זה הסיפור , הרפורמה פחות חשובה"
yosishahbar,"הותר לפרסום
סרטון ובו אנחנו נחשפים לחילוץ כח צה""ל מזירת מטענים בלב ג'נין 
ביום שני השבוע. https://t.co/6lfk7CpJfi"
yosishahbar,"@LeShomron לתשומת לבך.
ביום שבית המשפט כינס את הפרקליטים מהתביעה והסנגורים בלשכה  הוא הודיע שאין ראיות לתיק 4000 ואין ראיות  לתיק 1000.
וזה לפני עדות מילצ'ין."
yosishahbar,"למה אתם עצובים?
שימו לב
לפרצופי הסייענים של תופרי התיקים. https://t.co/BMFr22zkFb"
yosishahbar,"אזהרת צפייה.
הרוע בהתגלמותו. https://t.co/W3oFIrsKsW"
prydmn6,RT @prydmn6: @noam_fathi מי סופר את ערוצי השקר ערוצי הכזב ערוצי הסמול פעילי הקרן 24/7 מלחמת עולם נגדנו
prydmn6,@shirellaloom @Mrjikx9JLOTen7q מלכה ❤️❤️❤️
prydmn6,כוחות נוספים נכנסים כרגע לג’נין הם מתועדים בכניסה ושוב יכינו להם הפתעות נראה לכם הגיוני ????  לא עדיף כמה טילים מלמעלה ??? מה ההפקרות הזו חיילנו מופקרים ע״י צמרת סמולנית מסוכנת https://t.co/bh3PDasjVx
yosishahbar,"תדהמה בשמאל הפרוגרסיבי.

זוג ביביסטים חשוכים
הומו ולסבית מתחבקים ואיש הציונות הדתית מתמוגג מנחת.
ממש חשוכים.
עד שהדיקטטור נתניהו לא יתנער מהחיבוק הזה גנץ ולפיד לא יחדשו את השיחות בבית הנשיא. https://t.co/Y0tQ4dmkDZ"
yosishahbar,"בן גביר צדק.

עבודות הפיתוח להקמת טורבינות רוח ברמת הגולן ימשכו כרגיל
עד לאמצע השבוע הבא בו יחול חג הקורבן....בסיום החג העבודות ימשכו כרגיל. https://t.co/HP8br7JTe7"
yosishahbar,"הסרבן
יאיר לפיד שסירב לעשות שרות משמעותי בצהל על הגריל.
המרדף מתחיל עכשיו. https://t.co/F4Cvn8vv1o"
yosishahbar,About your email and phone number discoverability privacy settings https://t.co/qb4eID84Bf
yosishahbar,"מילצ'ין 
תוקף את אילן שילוח מראשי המחאה נגד הרפורמה  שגובה 
עמלה של 30% ומרושש 
את ערוצי השידור.
עמלה נורמלית היא לכל היותר 10%. https://t.co/JagaN2BF3T"
prydmn6,אנחנו באירוע הזוי  https://t.co/trt2mhGiKr
yosishahbar,"בושה.
המטורללת מהפרקליטות
לא תיאמה את גביית עדות מילצ'ן באופן רשמי עם השלטונות הבריטים. משום כך אין בידה אישור לגבות ממנו עדות.
עקב כך הפרקליטות ביקשה דחייה עד יום שלישי.
בינתיים כל צוות החקירה בלונדון. https://t.co/FL3chLtSxt"
yosishahbar,"בוםםם
גם תיק 1000.

שופטי תיקי האלפים יעצו לפרקליטות למשוך את כתב האישום בתיק השוחד עקב קשיים ראייתים...

גם בתיק 1000 השופטים הצביעו על קשיים ראייתים להשיג הרשעה."
yosishahbar,"הם משחדים.

לפעמים גם בסרטוני תעמולה יש גלוים.
בעלי הון שתורמים לראש לשכת עורכי הדין חצי מיליון שקל 
עושים זאת  ככל הנראה *מבחינת שלח לחמך על פני המים כי ברוב הימים תמצאנו*.
קוראים לזה שוחד. https://t.co/0mFFDIhcf2"
prydmn6,@yosishahbar זה מתואם עם ביבי
yosishahbar,"חצוף.
זהו ניצב סופר.
החצוף הזה טוען שאצלו 
לא יחסמו את נתיבי איילון.
ובכן גנרל סופר.
גורלך נחרץ.
תשאל את גל הירש. https://t.co/O9BMGZoDFa"
yosishahbar,"הנה זה מתחיל.
השמאל מתיר את דמם של 
שופטי נתניהו. https://t.co/z4oqmIKQ7n"
yosishahbar,"פנינים 
מאת טלי גוטליב.
הימין שמימין לימין. https://t.co/9y9AlYzKFW"
yosishahbar,"אז למה הדרוזים מפגינים 
נגד טחנות הרוח? 
ברמת הגולן שוכנת כנופיית שמאלנים פרוגרסיבית שמסיתה את הדרוזים נגד פרויקט טחנות הרוח
במשך שנים הסיפור הזה רקם עור וגידים, וזה לא עניין את הדרוזים.
עכשו, על רקע חולשת כוחות הבטחון ובעיקר המשטרה 
הסיפור התפוצץ.
הידים ידי השמאל הפרוגרסיבי."
yosishahbar,"חוק דרעי?
דרעי...
""במצב הנוכחי טוב לי לא להיות שר
""יש סיכוי גדול שלא אחזור לממשלה""."
yosishahbar,"@LTurkishdizi חס וחלילה.
אני בעד כל מה שנתניהו יחליט.
אני חייב להזכיר לכל גיבורי המקלדת ,כמוני..
את הנשיא קצב...
הציעו לו עיסקת טיעון מינורית של ליטוף ירך של אישה.
את העיסקה הזאת תפר ברוחב לב 
שי ניצן...
שזה פחות מהמעשה שהורשע בו חיים רמון שנישק חיילת...
והטיפש נמנע מללכת לעיסקת טיעון...
ושי…"
yosishahbar,"הקשיבו הקשיבו.
הודעה מיוחדת לשמאלנים בלבד.
במוצ""ש בקפלן תל אביב.
על דוכן האיומים יעמוד הפדופיל 
אהוד ברק.
אנא...
אחים אנחנו.
השאירו את הילדים החמודים שלכם בבית. https://t.co/ZrMoevnw92"
yosishahbar,"הידעתם ....
ראשי אירגוני הפשע במגזר הערבי 
מעורבים עד צוואר בבחירות ללשכת עורכי הדין.
תנחשו במי הם תומכים?
נכון!
בעמית בכר.
הם יודעים למה...
הפרקליטות מפנקת אותם.
תשאלו את אבו לטיף. https://t.co/xRlVvIruxF"
yosishahbar,"4 נרצחים בעלי.
כן 4 הרוגים."
yosishahbar,"@Very_Good_Guy_ אדיוט 
יש לי ילדה בוגרת 8200
והיועמשית של הגוף הגדול במדינה.
יש לי ילדה רואת חשבון בחברת תרופות הגדולה בארץ
שהייתה במודיעין חיל הים.
יש לי ילדה עם 6 תארים אקדמאים שהייתה מ.פ בצהל.
רוצה עוד?"
yosishahbar,@Yud68929796 ברור.
yosishahbar,"@a51LetvgkZzmWCw מוקדם מדי.
קודם לבחור נשיא עליון.
בעוד 118 יום.
אחר כך לחוקק את חוק השוויון בוועדה 
לבחירת השופטים.
נשיא עליון שקול כנגד כל הרפורמה."
yosishahbar,"אמיץ או פחדן.
אומרים שלאפי נווה יש 
ביצים גדולות.
יענו...איש אמיץ ו....
ובכן הגיע הזמן שאפי נווה יפתח לציבור את תוכנו של הטלפון הסוללרי שלו לציבור הרחב.
הגיע הזמן שהציבור יכנס למערכת הביוב של החונטה המשפטית. https://t.co/fPxXRl8aZl"
yosishahbar,"אהרון ברק.
תודה.
תודה לאהרון ברק שמכיר בזכותי להיות אזרח שווה זכויות.
זה מזכיר לי את בעלי האחוזות באמריקה שהעניקו במשורה זכויות לשחורים.
תודה שהוא מאפשר לי ולשכמותי  להיות טייס.
תודה שהוא שוקל לשבץ אותי 8200. https://t.co/vdEUQERjlP"
yosishahbar,יש תקלה בטוויטר?
yosishahbar,"למה?
למה הלוחם הזה הודח?
למה הטייסים הסרבנים לא הודחו?
למה?
שמישהו יסביר לי למה? https://t.co/dMo2PzX5J8"
yosishahbar,"@Motty53 אדון וייס.
תנחש מי המקור שלי?
נכון!.
מאבי וייס.
אני עושה העתק הדבק."
yosishahbar,הלולב של יאיר. https://t.co/YeNsXuOLP9
yosishahbar,"@edihoo2 תתבייש לך.
הייתי מכור אליה עד כלות.
אני כותב בצער.
הפוסט שלך מביש."
